id	STATS_ns	ML_ns	since_abi	pybind	flag
preprocessing.alignment.dtw_align	preprocessing.alignment	transform.alignment	1.0.0	-	
preprocessing.alignment.icoshift_align	preprocessing.alignment	transform.alignment	1.0.0	-	
preprocessing.alignment.xcorr_align	preprocessing.alignment	transform.alignment	1.0.0	-	
preprocessing.baselines.airpls	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.arpls	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.asls	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.beads	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.detrend	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.iasls	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.imodpoly	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.modpoly	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.rolling_ball	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.saps	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.baselines.snip	preprocessing.baseline	transform.baseline	1.0.0	-	
preprocessing.derivatives.derivate	preprocessing.smoothing_derivative	transform.smoothing	1.0.0	-	
preprocessing.derivatives.first_derivative	preprocessing.smoothing_derivative	transform.smoothing	1.0.0	-	
preprocessing.derivatives.norris_williams	preprocessing.smoothing_derivative	transform.smoothing	1.0.0	-	
preprocessing.derivatives.savitzky_golay	preprocessing.smoothing_derivative	transform.smoothing	1.0.0	-	
preprocessing.derivatives.second_derivative	preprocessing.smoothing_derivative	transform.smoothing	1.0.0	-	
preprocessing.feature_selection.flexible_pca	decomposition	decomposition	1.0.0	-	PCA: decomposition transform, not variable selection despite the family name
preprocessing.feature_selection.flexible_svd	decomposition	decomposition	1.0.0	-	SVD: decomposition transform, not variable selection
preprocessing.orthogonalization.epo	transfer	transform.orthogonalization	1.0.0	-	EPO: preprocessing OR transfer (placed in transfer)
preprocessing.orthogonalization.osc	preprocessing.osc	transform.orthogonalization	1.0.0	-	OSC: orthogonalization shares math with EPO/O-PLS
preprocessing.resampling.crop	preprocessing.resampling	transform.resampling	1.0.0	-	
preprocessing.resampling.kbins_discretizer	preprocessing.resampling	transform.resampling	1.0.0	-	
preprocessing.resampling.range_discretizer	preprocessing.resampling	transform.resampling	1.0.0	-	
preprocessing.resampling.resample_transformer	preprocessing.resampling	transform.resampling	1.0.0	-	
preprocessing.resampling.resampler	preprocessing.resampling	transform.resampling	1.0.0	-	
preprocessing.scaling.baseline	preprocessing.scaling	transform.scaling	1.0.0	-	
preprocessing.scaling.log_transform	preprocessing.scaling	transform.scaling	1.0.0	-	
preprocessing.scaling.normalize	preprocessing.scaling	transform.scaling	1.0.0	-	
